algorithm,case,success_rate(%),median,ci_low,ci_high
GD,isotropic,82.0,1825.0,1710.0,1862.0
GD,independent,72.0,1788.0,1669.0,1854.0
GD,aligned,100.0,1095.0,,
GD,misaligned,14.000000000000002,1866.0,1847.0,1945.0
Nesterov,isotropic,100.0,306.5,262.5,311.0
Nesterov,independent,100.0,310.0,,
Nesterov,aligned,100.0,175.5,154.0,180.62957764893508
Nesterov,misaligned,100.0,380.0,,
